code_commune,nom_commune,code_departement,prix_moyen,nb_ventes
02387,Itancourt,02,1411.2554046537068,13
02389,Jaulgonne,02,1742.1363014637807,7
02393,Jouaignes,02,3352.7083222735396,7
02397,Jussy,02,1426.2837279902426,9
02405,Landouzy-la-Ville,02,1125.479675328569,9
02407,Laniscourt,02,1275.6552720189557,6
02408,Laon,02,2034.6045203881815,409
02411,Latilly,02,1807.1048021001204,8
02420,Lesdins,02,1397.0985593213175,9
02422,Lesquielles-Saint-Germain,02,1074.922113545653,14
02426,Levergies,02,1190.3770037556706,8
02430,Liesse-Notre-Dame,02,1289.2018164308674,11
02438,Longpont,02,2221.706689326342,11
02439,Les Septvallons,02,1452.828564708145,11
02450,Macquigny,02,1186.3143287845257,6
02453,Maizy,02,1150.5561762944715,7
02454,La Malmaison,02,1404.924537193276,6
02456,Manicamp,02,1918.9410186983696,6
02458,Dhuys et Morin-en-Brie,02,1857.7470995812298,10
02461,Marest-Dampcourt,02,1496.0593355852184,9
02462,Mareuil-en-Dôle,02,1503.5280993390438,10
02465,Marigny-en-Orxois,02,2079.7870897607822,6
02468,Marle,02,955.9069871649813,18
02470,Martigny,02,832.7212840140112,10
02474,Mennessis,02,1059.7022182806522,8
02477,Mercin-et-Vaux,02,1755.3901898685579,13
02480,Mesbrecourt-Richecourt,02,921.3179824601897,6
02481,Mesnil-Saint-Laurent,02,1450.9924092079793,10
02483,Mézières-sur-Oise,02,1384.5224301472317,8
02487,Missy-sur-Aisne,02,1752.9875811972124,13
02492,Monceau-lès-Leups,02,1251.8360886698224,7
02495,Mondrepuis,02,1239.4332065335464,12
02497,Mons-en-Laonnois,02,1566.9056221163114,15
02498,Montaigu,02,1340.2872061904138,16
02500,Montbrehain,02,1124.5071072744124,12
02502,Montcornet,02,1131.751647517004,13
02503,Mont-d'Origny,02,1033.9670249316566,12
02504,Montescourt-Lizerolles,02,1429.7478922069567,20
02512,Montigny-l'Allier,02,2297.969894730405,7
02520,Mont-Notre-Dame,02,1485.978724629098,13
02521,Montreuil-aux-Lions,02,2589.09645435259,29
02524,Mont-Saint-Père,02,1827.9158755958379,9
02525,Morcourt,02,1587.2277352321914,6
02527,Morsain,02,1588.0830032416866,9
02532,Moÿ-de-l'Aisne,02,2330.9031870384356,19
02539,Nauroy,02,897.2512991648221,8
02540,Nesles-la-Montagne,02,1570.3799766261893,12
02543,Neuilly-Saint-Front,02,1463.3525305180192,30
02549,Neuville-Saint-Amand,02,2898.7789092896023,15
